timestamp,temp_c,ph,tds_ppm,turbidity_ntu,orp_mV,lux,aerator_on,pump_on,hour,is_daylight,label
2025-10-18T08:11:00,29.2,7.98,638.9,11.57,340.6,7648.8,1,1,8,1,
2025-10-18T08:11:02,29.63,8.12,571.8,8.63,331.5,7301.4,1,1,8,1,
2025-10-18T08:11:04,29.1,7.71,496.5,5.31,309.5,8471.4,1,1,8,1,
2025-10-18T08:11:06,28.64,7.79,687.9,6.32,352.7,5862.9,1,1,8,1,
2025-10-18T08:11:08,28.78,8.02,530.9,8.13,326.0,7562.5,1,1,8,1,
2025-10-18T08:11:10,28.76,8.28,599.2,3.83,382.9,6168.7,1,1,8,1,
2025-10-18T08:11:12,29.08,7.71,520.3,7.59,379.5,8257.1,1,1,8,1,
2025-10-18T08:11:14,28.95,7.95,511.3,4.84,331.6,9585.7,1,1,8,1,
2025-10-18T08:11:16,29.14,7.74,619.4,5.84,322.9,8917.5,1,1,8,1,
2025-10-18T08:11:18,29.41,8.14,549.6,6.07,363.3,9463.3,1,1,8,1,
2025-10-18T08:11:20,28.81,7.97,533.6,3.41,382.5,10034.4,1,1,8,1,
2025-10-18T08:11:22,28.97,8.15,621.7,5.06,364.5,10307.1,1,1,8,1,
2025-10-18T08:11:24,28.99,8.23,442.8,9.47,353.5,7551.5,1,1,8,1,
2025-10-18T08:11:26,29.04,7.7,586.8,8.07,409.1,7222.6,1,1,8,1,
2025-10-18T08:11:28,28.68,7.92,654.9,7.99,328.8,8769.9,1,1,8,1,
2025-10-18T08:11:30,29.04,8.15,557.9,6.02,334.3,5804.7,1,1,8,1,
2025-10-18T08:11:32,29.12,8.04,600.3,6.3,293.4,7369.0,1,1,8,1,
2025-10-18T08:11:34,28.86,7.88,590.3,8.21,425.4,8261.9,1,1,8,1,
2025-10-18T08:11:36,29.1,7.99,484.9,6.92,352.4,11694.9,1,1,8,1,
2025-10-18T08:11:38,28.92,8.05,597.9,3.49,395.7,9127.9,1,1,8,1,
2025-10-18T08:11:40,29.32,7.86,684.2,2.79,373.5,11285.7,1,1,8,1,
2025-10-18T08:11:42,28.6,7.92,606.0,5.49,288.0,8102.8,1,1,8,1,
2025-10-18T08:11:44,28.58,8.07,544.8,11.65,318.7,7516.9,1,1,8,1,
2025-10-18T08:11:46,29.33,7.82,613.6,10.92,285.7,8277.0,1,1,8,1,
2025-10-18T08:11:48,29.1,8.12,525.8,3.04,370.9,8445.5,1,1,8,1,
2025-10-18T08:11:50,29.1,8.05,559.2,7.7,361.7,6928.5,1,1,8,1,
2025-10-18T08:11:52,29.75,8.07,528.5,8.97,311.0,9180.6,1,1,8,1,
2025-10-18T08:11:54,29.46,7.88,657.8,8.24,382.9,10845.2,1,1,8,1,
2025-10-18T08:11:56,28.9,7.89,546.6,4.55,346.9,8511.7,1,1,8,1,
2025-10-18T08:11:58,29.11,8.12,600.8,11.36,339.4,12080.3,1,1,8,1,
2025-10-18T08:12:00,29.25,7.87,535.7,8.45,341.1,9071.0,1,1,8,1,
2025-10-18T08:12:02,29.19,7.99,549.2,2.46,332.1,9284.6,1,1,8,1,
2025-10-18T08:12:04,29.09,7.81,610.4,8.16,314.6,8230.6,1,1,8,1,
2025-10-18T08:12:06,29.02,7.83,621.5,8.68,393.3,9580.7,1,1,8,1,
2025-10-18T08:12:08,28.45,7.86,630.9,8.54,370.6,13779.1,1,1,8,1,
2025-10-18T08:12:10,29.23,8.17,657.2,8.95,337.4,9138.5,1,1,8,1,
2025-10-18T08:12:12,28.69,7.96,570.9,7.25,442.6,5199.1,1,1,8,1,
2025-10-18T08:12:14,29.27,7.76,571.7,10.27,352.6,6383.4,1,1,8,1,
2025-10-18T08:12:16,28.71,8.1,556.2,7.65,351.8,7022.6,1,1,8,1,
2025-10-18T08:12:18,29.86,8.1,478.5,7.56,323.5,9278.7,1,1,8,1,
2025-10-18T08:12:20,28.68,7.98,630.3,9.6,302.0,7498.2,1,1,8,1,
2025-10-18T08:12:22,28.81,7.9,705.9,8.21,299.6,9376.8,1,1,8,1,
2025-10-18T08:12:24,29.85,8.15,508.8,5.55,400.7,6938.5,1,1,8,1,
2025-10-18T08:12:26,29.18,8.12,544.4,6.82,220.3,6463.4,1,1,8,1,
2025-10-18T08:12:28,28.9,7.81,697.9,2.71,332.4,8196.1,1,1,8,1,
2025-10-18T08:12:30,29.58,7.78,669.8,7.03,310.7,8693.2,1,1,8,1,
2025-10-18T08:12:32,29.08,7.91,604.2,5.84,354.5,8993.2,1,1,8,1,
2025-10-18T08:12:34,29.63,7.81,728.0,1.14,343.9,8882.5,1,1,8,1,
2025-10-18T08:12:36,29.11,7.91,587.5,5.52,326.4,9274.4,1,1,8,1,
2025-10-18T08:12:38,29.14,7.9,654.0,7.92,382.5,8944.4,1,1,8,1,
2025-10-18T08:12:40,28.67,7.92,644.8,8.83,349.2,8176.0,1,1,8,1,
2025-10-18T08:12:42,29.51,7.91,632.8,6.39,341.3,9648.2,1,1,8,1,
2025-10-18T08:12:44,29.33,8.12,678.3,7.06,377.3,7534.6,1,1,8,1,
2025-10-18T08:12:46,29.13,7.98,605.8,8.79,317.3,11138.6,1,1,8,1,
2025-10-18T08:12:48,28.6,7.82,669.5,9.37,375.0,8942.5,1,1,8,1,
2025-10-18T08:12:50,29.0,7.87,604.5,4.97,389.0,7779.4,1,1,8,1,
2025-10-18T08:12:52,28.67,7.95,624.8,5.31,317.1,8365.5,1,1,8,1,
2025-10-18T08:12:54,29.1,7.92,571.7,7.7,292.1,5888.8,1,1,8,1,
2025-10-18T08:12:56,28.71,7.97,618.7,11.43,384.3,7760.1,1,1,8,1,
2025-10-18T08:12:58,28.99,7.85,598.9,6.13,362.9,6759.2,1,1,8,1,
2025-10-18T08:13:00,29.21,8.23,593.5,8.21,377.6,7398.2,1,1,8,1,
2025-10-18T08:13:02,29.09,8.0,605.9,4.68,351.0,8747.0,1,1,8,1,
